Title,Genre,Year,Score,Description
The Expendables,"Action, Adventure, Thriller",2010,6.5,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.
Men in Black 3,"Action, Adventure, Comedy",2012,6.8,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
Due Date,"Adventure, Comedy, Drama",2010,6.6,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.
Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",2015,7.4,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF."
50/50,"Comedy, Drama, Romance",2011,7.7,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
Flight,"Drama, Thriller",2012,7.3,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling."
Maleficent,"Action, Adventure, Family",2014,7.0,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
Deadpool 2,"Action, Adventure, Comedy",2018,7.8,"Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable."
Split,"Horror, Thriller",2016,7.3,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Justice League,"Action, Adventure, Fantasy",2017,6.5,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy."
Room,"Drama, Thriller",2015,8.2,"Held captive for years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
The Lego Movie,"Animation, Action, Adventure",2014,7.8,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
The Big Short,"Biography, Comedy, Drama",2015,7.8,In 2006-7 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
Tron,"Action, Adventure, Fantasy",2010,6.8,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",2017,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Passengers,"Drama, Romance, Sci-Fi",2016,7.0,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
The Equalizer,"Action, Crime, Thriller",2014,7.2,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her."
Moonrise Kingdom,"Adventure, Comedy, Drama",2012,7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Monsters University,"Animation, Adventure, Comedy",2013,7.3,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.
The Interview,Comedy,2014,6.6,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to assassinate him."
Real Steel,"Action, Drama, Family",2011,7.1,"In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot."
Hugo,"Adventure, Drama, Family",2011,7.5,"In Paris in 1931, an orphan named Hugo Cabret, who lives in the walls of a train station, is wrapped up in a mystery involving his late father and an automaton."
Les Misérables,"Drama, History, Musical",2012,7.6,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",2014,5.7,"Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help."
Jack Reacher,"Action, Crime, Thriller",2012,7.0,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.
True Grit,"Adventure, Drama, Western",2010,7.6,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
The Expendables 2,"Action, Adventure, Thriller",2012,6.6,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
Salt,"Action, Mystery, Thriller",2010,6.4,A CIA agent goes on the run after a defector accuses her of being a Russian spy.
Fifty Shades of Grey,"Drama, Romance, Thriller",2015,4.1,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
The Secret Life of Walter Mitty,"Adventure, Comedy, Drama",2013,7.3,"When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined."
Taken 2,"Action, Crime, Thriller",2012,6.3,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
RED,"Action, Comedy, Crime",2010,7.1,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants."
The Bourne Legacy,"Action, Adventure, Thriller",2012,6.7,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
The Book of Eli,"Action, Adventure, Drama",2010,6.9,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind."
The Shape of Water,"Adventure, Drama, Fantasy",2017,7.4,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
The Hangover Part III,"Comedy, Crime",2013,5.8,"When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run."
How to Train Your Dragon 2,"Animation, Action, Adventure",2014,7.8,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
Bad Neighbours,Comedy,2014,6.3,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
300: Rise of an Empire,"Action, Fantasy, War",2014,6.2,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy."
Snow White and the Huntsman,"Action, Adventure, Drama",2012,6.1,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
Bridge of Spies,"Drama, History, Thriller",2015,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
Clash of the Titans,"Action, Adventure, Fantasy",2010,5.8,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth."
About Time,"Comedy, Drama, Fantasy",2013,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
Prince of Persia: The Sands of Time,"Action, Adventure, Fantasy",2010,6.6,A young fugitive Prince and Princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.
10 Cloverfield Lane,"Drama, Horror, Mystery",2016,7.2,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
John Wick: Chapter 2,"Action, Crime, Thriller",2017,7.5,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
Pitch Perfect,"Comedy, Music, Romance",2012,7.2,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
Green Lantern,"Action, Adventure, Sci-Fi",2011,5.5,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps."
Insidious,"Horror, Mystery, Thriller",2010,6.8,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
Bridesmaids,"Comedy, Romance",2011,6.8,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Zero Dark Thirty,"Drama, Thriller",2012,7.4,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
The Dictator,Comedy,2012,6.4,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.
Lone Survivor,"Action, Biography, Drama",2013,7.5,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",2015,6.6,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the future of Panem.
Ready Player One,"Action, Adventure, Sci-Fi",2018,7.6,"When the creator of a virtual reality world called the OASIS dies, he releases a video in which he challenges all OASIS users to find his Easter Egg, which will give the finder his fortune."
Robin Hood,"Action, Adventure, Drama",2010,6.7,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
John Carter,"Action, Adventure, Sci-Fi",2012,6.6,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
The Man from U.N.C.L.E.,"Action, Adventure, Comedy",2015,7.3,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
Kick-Ass 2,"Action, Comedy, Crime",2013,6.6,"Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for."
The Jungle Book,"Adventure, Drama, Family",2016,7.4,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
The A-Team,"Action, Adventure, Comedy",2010,6.8,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed."
Coco,"Animation, Adventure, Comedy",2017,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Unknown,"Action, Mystery, Thriller",2011,6.9,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is."
Olympus Has Fallen,"Action, Thriller",2013,6.5,"Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers."
Dredd,"Action, Crime, Sci-Fi",2012,7.1,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
Jagten,Drama,2012,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Non-Stop,"Action, Mystery, Thriller",2014,7.0,"An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes."
Terminator Genisys,"Action, Adventure, Sci-Fi",2015,6.5,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."
Snowpiercer,"Action, Drama, Sci-Fi",2013,7.1,"Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges."
A Quiet Place,"Drama, Horror, Mystery",2018,7.6,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
The Nice Guys,"Action, Comedy, Crime",2016,7.4,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
Chronicle,"Drama, Sci-Fi, Thriller",2012,7.1,Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.
The World's End,"Action, Comedy, Sci-Fi",2013,7.0,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.
The Grey,"Action, Adventure, Drama",2011,6.8,"After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step."
Total Recall,"Action, Adventure, Mystery",2012,6.3,"A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Recall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run."
Dark Shadows,"Comedy, Fantasy, Horror",2012,6.2,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
Lincoln,"Biography, Drama, History",2012,7.4,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
Noah,"Action, Adventure, Drama",2014,5.8,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.
The Adjustment Bureau,"Romance, Sci-Fi, Thriller",2011,7.1,The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.
Battleship,"Action, Adventure, Sci-Fi",2012,5.8,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.
The Accountant,"Action, Crime, Drama",2016,7.4,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
The Descendants,"Comedy, Drama",2011,7.3,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
Beauty and the Beast,"Family, Fantasy, Musical",2017,7.2,"A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
The Place Beyond the Pines,"Crime, Drama, Thriller",2012,7.3,"A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
Kong: Skull Island,"Action, Adventure, Fantasy",2017,6.7,"A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden."
Kung Fu Panda 2,"Animation, Action, Adventure",2011,7.2,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
Warcraft: The Beginning,"Action, Adventure, Fantasy",2016,6.9,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
Seven Psychopaths,"Comedy, Crime",2012,7.2,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
Predestination,"Drama, Mystery, Sci-Fi",2014,7.5,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos."
Paul,"Adventure, Comedy, Sci-Fi",2011,7.0,Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.
The Other Guys,"Action, Comedy, Crime",2010,6.7,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned."
Sucker Punch,"Action, Fantasy",2011,6.1,"A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape."
I Am Number Four,"Action, Adventure, Sci-Fi",2011,6.1,"Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story."
The Artist,"Comedy, Drama, Romance",2011,7.9,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",2017,7.0,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
Alien: Covenant,"Horror, Sci-Fi, Thriller",2017,6.4,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
Don Jon,"Comedy, Drama, Romance",2013,6.6,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
Pirates of the Caribbean: Salazar's Revenge,"Action, Adventure, Fantasy",2017,6.6,Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.
Rango,"Animation, Adventure, Comedy",2011,7.2,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
Lawless,"Crime, Drama",2012,7.3,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy",2012,5.5,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
Spy,"Action, Comedy, Crime",2015,7.0,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster."
Chappie,"Action, Crime, Drama",2015,6.8,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
Kingsman: The Golden Circle,"Action, Adventure, Comedy",2017,6.8,"When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy."
Moonlight,Drama,2016,7.4,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
End of Watch,"Action, Crime, Drama",2012,7.6,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
Ender's Game,"Action, Adventure, Fantasy",2013,6.6,"Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind."
Moana,"Animation, Adventure, Comedy",2016,7.6,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
Escape Plan,"Action, Crime, Mystery",2013,6.7,"When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside."
The Twilight Saga: Eclipse,"Adventure, Drama, Fantasy",2010,5.0,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
Warm Bodies,"Comedy, Horror, Romance",2013,6.9,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
The Ides of March,"Drama, Thriller",2011,7.1,An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.
Grown Ups,Comedy,2010,6.0,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
The Lone Ranger,"Action, Adventure, Western",2013,6.4,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice."
Creed,"Drama, Sport",2015,7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy",2011,4.9,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
RoboCop,"Action, Crime, Sci-Fi",2014,6.2,"In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer."
Star Trek Beyond,"Action, Adventure, Sci-Fi",2016,7.1,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."
Finding Dory,"Animation, Adventure, Comedy",2016,7.3,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
The Tourist,"Action, Adventure, Crime",2010,6.0,"Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path."
Now You See Me 2,"Action, Adventure, Comedy",2016,6.5,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
Megamind,"Animation, Action, Comedy",2010,7.3,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
Transcendence,"Drama, Mystery, Romance",2014,6.3,"A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program."
Manchester by the Sea,Drama,2016,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
The Adventures of Tintin: The Secret of the Unicorn,"Animation, Action, Adventure",2011,7.3,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
Contagion,"Drama, Thriller",2011,6.6,"Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure."
Hotel Transylvania,"Animation, Comedy, Family",2012,7.1,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
Just Go with It,"Comedy, Romance",2011,6.4,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
Predators,"Action, Adventure, Sci-Fi",2010,6.4,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.
Southpaw,"Drama, Sport",2015,7.4,"A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction."
Insurgent,"Action, Adventure, Sci-Fi",2015,6.2,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
The Lincoln Lawyer,"Crime, Drama, Thriller",2011,7.3,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.
No Strings Attached,"Comedy, Romance",2011,6.2,"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
Gangster Squad,"Action, Crime, Drama",2013,6.7,"It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city."
Cowboys & Aliens,"Action, Sci-Fi, Thriller",2011,6.0,"A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way."
Maze Runner: The Scorch Trials,"Action, Sci-Fi, Thriller",2015,6.3,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles."
Sinister,"Horror, Mystery, Thriller",2012,6.8,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.
Nocturnal Animals,"Crime, Drama, Romance",2016,7.5,"A wealthy art gallery owner receives a draft of her ex-husband's new novel, a violent thriller she interprets as a veiled threat and a symbolic revenge tale."
Oz the Great and Powerful,"Adventure, Family, Fantasy",2013,6.3,"A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers."
Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",2014,5.8,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
American Reunion,Comedy,2012,6.7,"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion."
Sully: Miracle on the Hudson,"Biography, Drama",2016,7.5,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
Jodaeiye Nader az Simin,"Crime, Drama, Family",2011,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
War for the Planet of the Apes,"Action, Adventure, Drama",2017,7.5,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
Safe House,"Action, Adventure, Crime",2012,6.8,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."
White House Down,"Action, Drama, Thriller",2013,6.4,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
Rio,"Animation, Adventure, Comedy",2011,6.9,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
Focus,"Comedy, Crime, Drama",2015,6.6,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
Minions,"Animation, Action, Adventure",2015,6.4,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
A Good Day to Die Hard,"Action, Thriller",2013,5.3,"John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces."
The Intern,"Comedy, Drama",2015,7.1,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
San Andreas,"Action, Adventure, Drama",2015,6.1,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
Jason Bourne,"Action, Thriller",2016,6.6,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
Pain & Gain,"Action, Comedy, Crime",2013,6.4,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.
The Conjuring 2,"Horror, Mystery, Thriller",2016,7.4,Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.
Annihilation,"Adventure, Drama, Horror",2018,6.9,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Machete,"Action, Crime, Thriller",2010,6.6,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",2013,6.1,"Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past."
Ghostbusters,"Action, Comedy, Fantasy",2016,5.3,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
After Earth,"Action, Adventure, Sci-Fi",2013,4.8,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help."
2 Guns,"Action, Comedy, Crime",2013,6.7,"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold."
Bad Teacher,"Comedy, Romance",2011,5.6,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her."
The Internship,Comedy,2013,6.3,"Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment."
The Purge,"Horror, Thriller",2013,5.7,"A wealthy family are held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal."
