Title,Genre,Year,Score,Description
Whiplash,"Drama, Music",2014,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
The King's Speech,"Biography, Drama, History",2010,8.0,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
The Hunger Games: Catching Fire,"Action, Adventure, Mystery",2013,7.5,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
12 Years a Slave,"Biography, Drama, History",2013,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
The Social Network,"Biography, Drama",2010,7.7,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business."
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",2013,7.8,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy",2016,6.5,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
World War Z,"Action, Adventure, Horror",2013,7.0,"Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
Now You See Me,"Crime, Mystery, Thriller",2013,7.3,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
Captain America: Civil War,"Action, Adventure, Sci-Fi",2016,7.8,Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.
Prometheus,"Adventure, Mystery, Sci-Fi",2012,7.0,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Edge of Tomorrow,"Action, Sci-Fi",2014,7.9,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
Ted,"Comedy, Fantasy",2012,6.9,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori."
Kingsman: The Secret Service,"Action, Adventure, Comedy",2014,7.7,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
Argo,"Biography, Drama, Thriller",2012,7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
Jurassic World,"Action, Adventure, Sci-Fi",2015,7.0,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree."
Logan,"Action, Drama, Sci-Fi",2017,8.1,"In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces."
Avengers: Infinity War,"Action, Adventure, Fantasy",2018,8.6,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Life of Pi,"Adventure, Drama, Fantasy",2012,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
The Amazing Spider-Man,"Action, Adventure, Sci-Fi",2012,7.0,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death."
Thor: The Dark World,"Action, Adventure, Fantasy",2013,7.0,"When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves."
Drive,"Crime, Drama",2011,7.8,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.
Inside Out,"Animation, Adventure, Comedy",2015,8.2,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Prisoners,"Crime, Drama, Mystery",2013,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Suicide Squad,"Action, Adventure, Fantasy",2016,6.1,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
Frozen,"Animation, Adventure, Comedy",2013,7.5,"When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",2014,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
Looper,"Action, Crime, Drama",2012,7.4,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
Kick-Ass,"Action, Comedy",2010,7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
Limitless,"Mystery, Sci-Fi, Thriller",2011,7.4,"With the help of a mysterious pill that enables the user to access one hundred percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers."
Arrival,"Drama, Mystery, Sci-Fi",2016,7.9,A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world.
21 Jump Street,"Action, Comedy, Crime",2012,7.2,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",2011,7.6,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
Doctor Strange,"Action, Adventure, Fantasy",2016,7.5,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
Ant-Man,"Action, Adventure, Comedy",2015,7.3,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world."
Despicable Me,"Animation, Comedy, Family",2010,7.7,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
Rogue One,"Action, Adventure, Sci-Fi",2016,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.
Her,"Drama, Romance, Sci-Fi",2013,8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
Wonder Woman,"Action, Adventure, Fantasy",2017,7.5,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Oblivion,"Action, Adventure, Mystery",2013,7.0,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.
Source Code,"Mystery, Romance, Sci-Fi",2011,7.5,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.
Star Trek into Darkness,"Action, Adventure, Sci-Fi",2013,7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
Pacific Rim,"Action, Adventure, Sci-Fi",2013,6.9,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",2011,6.6,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
Dunkirk,"Action, Drama, History",2017,7.9,"Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II."
"Crazy, Stupid, Love.","Comedy, Drama, Romance",2011,7.4,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy",2017,7.2,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",2014,7.4,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.
The Hangover Part II,"Comedy, Mystery",2011,6.5,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry."
Guardians of the Galaxy: Vol. 2,"Action, Adventure, Comedy",2017,7.7,The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.
The Great Gatsby,"Drama, Romance",2013,7.3,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",2011,7.4,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
The Perks of Being a Wallflower,"Drama, Romance",2012,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
Black Panther,"Action, Adventure, Sci-Fi",2018,7.4,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
The Hateful Eight,"Crime, Drama, Mystery",2015,7.8,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
American Hustle,"Crime, Drama",2013,7.3,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
John Wick,"Action, Crime, Thriller",2014,7.3,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",2010,7.7,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows."
Ex Machina,"Drama, Mystery, Sci-Fi",2014,7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.
La La Land,"Comedy, Drama, Music",2016,8.1,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Thor: Ragnarok,"Action, Adventure, Comedy",2017,7.9,"Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Warrior,"Drama, Sport",2011,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Horrible Bosses,"Comedy, Crime",2011,6.9,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.
Divergent,"Action, Adventure, Mystery",2014,6.7,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
Dallas Buyers Club,"Biography, Drama",2013,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
Lucy,"Action, Sci-Fi, Thriller",2014,6.4,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
American Sniper,"Action, Biography, Drama",2014,7.3,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind."
The Wolverine,"Action, Adventure, Sci-Fi",2013,6.7,"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons."
Elysium,"Action, Drama, Sci-Fi",2013,6.6,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
Nightcrawler,"Crime, Drama, Thriller",2014,7.9,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
Sherlock Holmes: A Game of Shadows,"Action, Adventure, Crime",2011,7.5,"Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty."
Dawn of the Planet of the Apes,"Action, Adventure, Drama",2014,7.6,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
The Help,Drama,2011,8.1,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
Rush,"Action, Biography, Drama",2013,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Captain Phillips,"Biography, Drama, Thriller",2013,7.8,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",2011,7.8,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
The Conjuring,"Horror, Mystery, Thriller",2013,7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi",2014,6.6,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
The Maze Runner,"Action, Mystery, Sci-Fi",2014,6.8,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape."
Fury,"Action, Drama, War",2014,7.6,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945."
Spider-Man Homecoming,"Action, Adventure, Sci-Fi",2017,7.5,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi",2014,6.7,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage."
We're the Millers,"Comedy, Crime",2013,7.0,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
Zootropolis,"Animation, Adventure, Comedy",2016,8.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi",2011,6.3,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets."
This is the End,"Comedy, Fantasy",2013,6.6,"6 Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only will have to face with the apocalypse, but with themselves."
Tangled,"Animation, Adventure, Comedy",2010,7.8,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
Big Hero 6,"Animation, Action, Adventure",2014,7.8,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
Alice in Wonderland,"Adventure, Family, Fantasy",2010,6.5,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
Midnight in Paris,"Comedy, Fantasy, Romance",2011,7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
The Theory of Everything,"Biography, Drama, Romance",2014,7.7,A look at the relationship between the famous physicist Stephen Hawking and his wife.
Spotlight,"Crime, Drama, History",2015,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Get Out,"Horror, Mystery, Thriller",2017,7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Spectre,"Action, Adventure, Thriller",2015,6.8,"A cryptic message from 007's past sends him pitted against a mysterious terrorist organization called Spectre, and learns of its involvement in previous events of his most dangerous missions."
Blade Runner 2049,"Drama, Mystery, Sci-Fi",2017,8.0,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years."
Hacksaw Ridge,"Biography, Drama, History",2016,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Furious 6,"Action, Crime, Thriller",2013,7.1,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty."
In Time,"Action, Sci-Fi, Thriller",2011,6.7,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
Godzilla,"Action, Adventure, Sci-Fi",2014,6.4,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
X-Men: Apocalypse,"Action, Adventure, Sci-Fi",2016,7.0,"After the re-emergence of the world's first mutant, the world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
Despicable Me 2,"Animation, Adventure, Comedy",2013,7.4,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
Baby Driver,"Action, Crime, Drama",2017,7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
The Cabin in the Woods,"Comedy, Horror",2012,7.0,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
Fast & Furious 7,"Action, Crime, Thriller",2015,7.2,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",2010,7.5,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.
Brave,"Animation, Adventure, Comedy",2012,7.1,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
Fast & Furious 5,"Action, Crime, Thriller",2011,7.3,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy",2016,7.4,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Easy A,"Comedy, Drama, Romance",2010,7.1,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
Wreck-It Ralph,"Animation, Adventure, Comedy",2012,7.7,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Cloud Atlas,"Action, Drama, Mystery",2012,7.5,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
Moneyball,"Biography, Drama, Sport",2011,7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
It,"Horror, Thriller",2017,7.4,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
127 Hours,"Adventure, Biography, Drama",2010,7.6,"An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
Super 8,"Mystery, Sci-Fi, Thriller",2011,7.0,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
The Town,"Crime, Drama, Thriller",2010,7.6,"As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the F.B.I. Agent looking to bring him and his crew down."
Sicario,"Action, Crime, Drama",2015,7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Boyhood,Drama,2014,7.9,"The life of Mason, from early childhood to his arrival at college."
22 Jump Street,"Action, Comedy, Crime",2014,7.0,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
Friends with Benefits,"Comedy, Romance",2011,6.6,"A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications."
The Fighter,"Biography, Drama, Sport",2010,7.8,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
The Fault in our Stars,"Drama, Romance",2014,7.7,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
